S	E	I	R
222	3	32	61
222	3	32	61
222	3	32	61
222	3	32	61
222	3	32	61
222	2	33	61
222	2	33	61
222	2	33	61
222	2	33	61
222	2	33	61
221	2	34	61
220	3	34	61
220	3	34	61
220	1	36	61
219	2	35	62
219	2	35	62
219	2	35	62
219	2	33	64
219	2	32	65
218	3	32	65
218	3	32	65
218	3	32	65
217	4	32	65
217	4	32	65
217	4	31	66
217	4	31	66
217	4	31	66
217	4	31	66
217	3	32	66
217	3	32	66
217	3	32	66
217	3	32	66
217	3	32	66
217	2	33	66
217	2	33	66
217	2	32	67
217	2	32	67
217	2	32	67
217	2	32	67
217	2	32	67
217	2	32	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	33	67
217	1	31	69
217	1	31	69
216	2	31	69
216	1	32	69
216	1	32	69
216	1	32	69
216	1	32	69
216	1	32	69
216	0	33	69
216	0	33	69
215	1	33	69
215	1	33	69
215	1	33	69
215	1	31	71
215	1	31	71
215	1	31	71
215	1	31	71
215	1	31	71
215	0	32	71
214	1	32	71
214	1	32	71
214	1	32	71
214	1	32	71
214	1	32	71
214	1	31	72
214	1	31	72
213	2	31	72
213	2	31	72
212	2	32	72
212	1	33	72
210	2	33	73
210	2	33	73
210	2	33	73
209	3	32	74
209	3	31	75
209	3	31	75
209	3	31	75
209	2	32	75
207	4	31	76
206	5	31	76
206	5	31	76
206	5	31	76
206	5	30	77
206	5	30	77
206	4	30	78
206	4	30	78
206	4	30	78
206	4	30	78
206	4	30	78
206	3	31	78
206	3	31	78
205	4	31	78
205	4	31	78
205	4	30	79
205	4	29	80
205	4	29	80
205	4	29	80
204	4	29	81
204	4	28	82
204	4	28	82
204	3	28	83
203	4	28	83
203	4	28	83
203	3	29	83
203	3	29	83
200	5	30	83
200	5	30	83
200	5	30	83
200	5	29	84
200	5	29	84
200	5	29	84
199	6	29	84
199	6	29	84
199	6	29	84
199	5	30	84
199	5	30	84
199	5	30	84
199	5	30	84
199	5	30	84
199	4	31	84
199	3	32	84
198	4	32	84
198	4	31	85
198	4	31	85
198	4	31	85
197	5	30	86
197	5	29	87
197	4	29	88
197	4	29	88
197	4	29	88
197	4	29	88
197	4	29	88
197	4	29	88
197	3	30	88
197	3	30	88
196	3	31	88
196	3	30	89
196	3	30	89
196	2	30	90
196	2	30	90
196	2	30	90
196	2	30	90
196	2	30	90
196	2	30	90
196	2	29	91
196	2	28	92
195	3	28	92
195	3	28	92
195	3	28	92
195	3	28	92
195	3	27	93
195	3	24	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	26	96
194	2	25	97
194	2	25	97
194	2	25	97
194	2	25	97
194	1	26	97
194	1	26	97
194	1	25	98
193	2	25	98
193	2	25	98
193	2	25	98
193	2	25	98
193	2	25	98
193	2	25	98
193	2	25	98
193	2	25	98
193	2	24	99
193	1	25	99
193	1	25	99
193	1	25	99
193	1	24	100
193	1	24	100
193	1	22	102
193	1	22	102
193	1	22	102
193	1	22	102
192	1	23	102
192	1	23	102
191	2	23	102
191	1	24	102
191	1	23	103
191	1	22	104
191	1	22	104
191	1	22	104
191	1	22	104
190	1	23	104
190	1	22	105
190	1	22	105
190	1	21	106
190	1	21	106
190	1	21	106
190	1	21	106
190	0	22	106
189	1	22	106
189	1	22	106
189	1	22	106
189	0	23	106
188	1	23	106
188	1	23	106
187	1	24	106
184	4	24	106
184	4	23	107
184	3	24	107
183	4	24	107
183	4	24	107
183	4	24	107
183	3	25	107
183	3	25	107
183	3	25	107
183	3	25	107
183	3	25	107
183	3	25	107
182	4	25	107
182	3	26	107
181	4	26	107
181	4	26	107
181	3	27	107
180	4	27	107
180	4	27	107
180	4	27	107
180	3	28	107
178	5	27	108
178	5	27	108
178	4	28	108
178	3	29	108
178	3	29	108
178	3	29	108
178	3	29	108
