S	E	I	R
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
133	0	19	7
132	0	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	1	20	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
131	0	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
130	1	21	7
129	2	21	7
129	2	21	7
129	2	21	7
129	2	21	7
129	2	21	7
129	2	21	7
129	2	21	7
129	1	22	7
128	2	22	7
128	2	22	7
128	2	21	8
128	2	21	8
128	2	20	9
128	2	20	9
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
129	1	21	8
